KEY,English(US),English(UK),Japanese,Spanish,French,German,Italian
WindowColorHelpPC,Press [DBTN=LEFT] [DBTN=RIGHT] to select\nthe window color.,Press [DBTN=LEFT] [DBTN=RIGHT] to select\nthe window color.,ウインドウカラーの設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel color de las ventanas.,Vous permet de définir la couleur\ndes fenêtres de message.\nChoisissez ”Normal” ou ”Classique”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].,"Einstellung der Fensterfarbe.\nMit [DBTN=LEFT], [DBTN=RIGHT][FEED=2] kann die Fensterfarbe\ngeändert werden.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare\nil colore delle finestre.
WindowColorHelpMobile,Tap to select the window color.,Tap to select the window color.,タップでウインドウカラーの設定をします。,Toca para seleccionar\nel color de las ventanas.,Touchez pour définir la couleur\ndes fenêtres de message.,"Tippen Sie hier, um die Fensterfarbe\nauszuwählen.",Tocca per impostare il colore delle finestre.
VibrationHelpPC,Press [DBTN=LEFT] [DBTN=RIGHT] to turn on/off\nthe vibration function.,Press [DBTN=LEFT] [DBTN=RIGHT] to turn on/off\nthe vibration function.,アナログコントローラのバイブレーション\nの設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para activar\no desactivar la vibración.,Active ou désactive les vibrations\nde la Manette.\nChoisissez ”ON” ou ”OFF” à lʹaide\ndes touches [DBTN=LEFT][DBTN=RIGHT].,"Einstellungen zur Analogsteuerung. Mit [DBTN=LEFT],\n[DBTN=RIGHT][FEED=2] kann die Einstellung geändert werden.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare\no disattivare la vibrazione.
VibrationHelpMobile,,,,,,,
ShowBasicTutorialHelpPC,Press [CBTN=CROSS] to display Basic Controls Tutorial.,Press [CBTN=CROSS] to display Basic Controls Tutorial.,基本操作チュートリアルを表示します。,Pulsa [CBTN=CROSS] para ver las instrucciones sobre los controles.,Pressez [CBTN=CROSS] pour afficher le tutoriel des commandes.,"Drücken Sie [CBTN=CROSS] , um das Steuerungstutorial aufzurufen.",Premi [CBTN=CROSS] per visualizzare\nil tutorial dei comandi di base.
ShowBasicTutorialHelpMobile,Tap to display Basic Controls Tutorial.,Tap to display Basic Controls Tutorial.,基本操作チュートリアルを表示します。,Toca para ver las instrucciones\nsobre los controles.,Touchez pour afficher le tutoriel des commandes.,"Tippen Sie hier, um das Steuerungstutorial aufzurufen.",Tocca per visualizzare il tutorial\ndei comandi di base.
ShowBattleTutorialHelpPC,Press [CBTN=CROSS] to display Combat Tutorial.,Press [CBTN=CROSS] to display Combat Tutorial.,バトルチュートリアルを表示します。,Pulsa [CBTN=CROSS] para ver las instrucciones sobre el combate.,Pressez [CBTN=CROSS] pour afficher le tutoriel du combat.,"Drücken Sie [CBTN=CROSS] , um das Kampftutorial aufzurufen.",Premi [CBTN=CROSS] per visualizzare\nil tutorial di battaglia.
ShowBattleTutorialHelpMobile,Tap to display Combat Tutorial.,Tap to display Combat Tutorial.,バトルチュートリアルを表示します。,Toca para ver las instrucciones\nsobre el combate.,Touchez pour afficher le tutoriel du combat.,"Tippen Sie hier, um das Kampftutorial aufzurufen.",Tocca per visualizzare il tutorial di battaglia.
ToTitleHelpPC,Press [CBTN=CROSS] to exit the current game\nand return to the Title scene.,Press [CBTN=CROSS] to exit the current game\nand return to the Title scene.,タイトル画面に戻ります。,Pulsa [CBTN=CROSS] para abandonar\nla partida y salir a la pantalla del título.,Pressez [CBTN=CROSS] pour quitter\nla partie en cours et retourner à l'écran titre.,"Drücken Sie [CBTN=CROSS] , um das Spiel\nzu beenden und zum Titelbildschirm\nzurückzukehren.",Premi [CBTN=CROSS] per terminare\nla partita e tornare alla schermata iniziale.
ToTitleHelpMobile,Tap to exit the current game\nand return to the Title scene.,Tap to exit the current game\nand return to the Title scene.,タイトル画面に戻ります。,Toca para abandonar la partida\ny salir a la pantalla del título.,Touchez pour quitter la partie en cours\net retourner à l'écran titre.,"Tippen Sie hier, um das Spiel zu beenden\nund zum Titelbildschirm zurückzukehren.",Tocca per terminare la partita\ne tornare alla schermata inziale.
QuitGameHelpPC,Press [CBTN=CROSS] to exit the current game\nand quit the game application.,Press [CBTN=CROSS] to exit the current game\nand quit the game application.,ゲームを終了します。,Pulsa [CBTN=CROSS] para abandonar\nla partida y salir de la aplicación.,Pressez [CBTN=CROSS] pour quitter le jeu.,"Drücken Sie [CBTN=CROSS] , um das Spiel zu beenden.",Premi [CBTN=CROSS] per terminare\nla partita e uscire dal gioco.
QuitGameHelpMobile,Press [CBTN=CIRCLE] to exit the current game\nand quit the game application.,,,,,,
Slow,Slow,Slow,おそい,-,Lente,-,-
Fast,Fast,Fast,はやい,+,Rapide,+,+
On,On,On,ON,SÍ,ON,Ein,ON
Off,Off,Off,OFF,NO,OFF,Aus,OFF
AutoBattleCamera,Auto,Auto,オート,Auto,Auto,Auto,Auto
FixedBattleCamera,Fixed,Fixed,こてい,Fija,Fixe,Fixiert,Fissa
Custom,Custom,Custom,カスタム,Personal,Perso,Benutzerdefiniert,Modifica
Active,Active,Active,アクティブ,Continuo,Actif,Echtzeit,Attivato
Wait,Wait,Wait,ウェイト,Pausado,Attente,Verzögert,Attesa
Initial,Initial,Initial,しょき,Fija,Initial,Am Anfang,Inizio
Memory,Memory,Memory,きおく,Memoria,Mémoire,Merken,Memoria
Run,Run,Run,はしる,Correr,Courir,Rennen,Corre
Walk,Walk,Walk,あるく,Andar,Marcher,Gehen,Cammina
Normal,Normal,Normal,ノーマル,Normal,Normal,Normal,Normale
Classic,Classic,Classic,クラシック,Clásico,Classique,Klassisch,Classico
ControlPressStart,[CENTER=0]Press [DBTN=START] to exit.,[CENTER=0]Press [DBTN=START] to exit.,[CENTER=0][DBTN=START] ボタンで終了,[CENTER=0]Pulsa [DBTN=START] para salir.,[CENTER=0][DBTN=START] : Quitter,[CENTER=0]Mit [DBTN=START] beenden.,[CENTER=0][DBTN=START] per uscire
ControlPressBackspace,[CENTER=0]Press [KCBT=START] to exit.,[CENTER=0]Press [KCBT=START] to exit.,[CENTER=0][KCBT=START] ボタンで終了,[CENTER=0]Pulsa [KCBT=START] para salir.,[CENTER=0][KCBT=START] : Quitter,[CENTER=0]Mit [KCBT=START] beenden.,[CENTER=0][KCBT=START] per uscire
MobileControlPressStart,[CENTER=0]Press [ICON=638] to exit.,[CENTER=0]Press [ICON=638] to exit.,[CENTER=0][ICON=638] ボタンで終了,[CENTER=0]Pulsa [ICON=638] para salir.,[CENTER=0][ICON=638] : Quitter,[CENTER=0]Mit [ICON=638] beenden.,[CENTER=0][ICON=638] per uscire
AndroidTVControlPressStart,"[CENTER=0]Press [JCBT=START] , [ICON=639] + [ICON=640] to exit.","[CENTER=0]Press [JCBT=START] , [ICON=639] + [ICON=640] to exit.","[CENTER=0][JCBT=START] , [ICON=639] + [ICON=640] ボタンで終了","[CENTER=0]Pulsa [JCBT=START] , [ICON=639] + [ICON=640] para salir.","[CENTER=0][JCBT=START] , [ICON=639] + [ICON=640] : Quitter","[CENTER=0]Mit [JCBT=START] , [ICON=639] + [ICON=640] beenden.","[CENTER=0][JCBT=START] , [ICON=639] + [ICON=640] per uscire"
QuitTheGame,Quit game and return to the title screen?,Quit game and return to the title screen?,ゲームを終了してタイトルに戻りますか？,¿Quieres abandonar la partida y\nvolver a la pantalla del título?,Quitter le jeu et retourner à l’écran titre ?,Spiel beenden und zum Titelbildschirm\nzurückkehren?,Vuoi uscire e tornare alla schermata iniziale?
YourGameProgressMayLost,*Unsaved data will be lost.,*Unsaved data will be lost.,保存していないデータは失われます。,* Se perderán los progresos no guardados.,* Les données non sauvegardées seront perdues.,* Nicht gespeicherte Daten gehen verloren.,*I dati non salvati andranno persi.
BoosterCaption,BOOSTER,GAME BOOSTERS,BOOSTER,MODO ULTRA,BOOSTER,BOOSTER-MODUS,POTENZIAMENTI
BoosterMaster,Master Abilities,Master Abilities,アビリティマスター,Maestría de habilidades,Maître des compétences,Ability-Meister,Impara le abilità
BoosterLv,Lv/Mag stone Max,Level and Magic Stones Max,レベル魔石力MAX,Nvl./piedras mágicas al máximo,Niv./Magikolithes maximums,Max. Level/Magiesteine,Livello e pietre magiche Max
BoosterGil,Gil Max,Gil Max,ギルMAX,Guiles al máximo,Gils maximums,Max. Gil,Guil Max
BoosterConfigWarning,*This feature cannot be disabled once active.,*This feature cannot be disabled once active.,*この機能は取り消しできません,* No podrás deshacer los cambios una vez activada esta opción.,"* Une fois activée, cette fonction ne peut pas être désactivée.",* Die Aktivierung kann nicht rückgängig gemacht werden.,"*Una volta abilitata, quest’opzione non può essere disattivata."
BoosterMasterHelp,Toggle abilities to be mastered automatically\non/off upon obtaining weapons and gear.,Toggle abilities to be mastered automatically\non/off upon obtaining weapons and gear.,武器や防具を入手したときに自動的にアビリティを\n取得するモードのオン／オフを切替えます。,Selecciona si quieres obtener\nla maestría de habilidades al\nconseguir armas o piezas de equipo.,Permet de maîtriser les compétences\nau moment où vous obtenez\nles armes et équipements.,Erlaubt das automatische Meistern von Abilitys\nbeim Erhalte von Waffen oder Ausrüstung.,Scegli se imparare automaticamente\nle abilità corrispondenti quando equipaggi\narmi e armature.
BoosterLvHelp,Activate character level and\nmagic stone count to be maximum.,Activate character level and\nmagic stone count to be maximum.,レベルと魔石力を最大値にします。,Consigue el máximo nivel y\nnúmero de piedras mágicas.,Le niveau et les magikolithes sont au maximum.,Level und Anzahl der Magiesteine werden maximiert.,Scegli se potenziare al massimo\nil livello del personaggio\ne delle pietre magiche.
BoosterGilHelp,Activate your character's gil\nto be maximum.,Activate your character's gil\nto be maximum.,ギルを最大値にします。,Consigue la cantidad máxima de guiles.,Les gils sont au maximum.,Das Gil-Guthaben wird maximiert.,Scegli se aumentare al massimo\ni guil a disposizione.
CrossControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Confirm.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Examine/Talk/Confirm.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Enter buildings/Ride vehicle/Move\n[XTAB=80]vehicle forward.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Confirm.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Examine/Talk/Confirm.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Enter buildings/Ride vehicle/Move\n[XTAB=80]vehicle forward.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]決定\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]決定/はなす/しらべる\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]決定/のりものにのる/前進,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Aceptar.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]Aceptar/Hablar/Examinar.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Aceptar/Subir a vehículos/Avanzar.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Confirmer\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Confirmer/Lâcher/Consulter\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Confirmer/Monter/Avancer,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Bestätigen\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]OK/Reden/Prüfen\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]OK/Einsteigen/Fortbewegen,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Conferma\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Conferma/parla/cerca\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Conferma/sali veicolo/avanza
CircleControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Cancel.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Cancel/Change default movement.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Exit vehicle.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Cancel.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Cancel/Change default movement.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Exit vehicle.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]キャンセル\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]キャンセル/移動きりかえ\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]のりものからおりる,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Cancelar.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]Cancelar/Modo de desplazamiento.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Bajar de vehículos.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Annuler\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Annuler/Changer\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Descendre,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Abbrechen\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Abbrechen/\n[YSUB=5][XTAB=88] Fortbewegungsart ändern\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Aus-/Absteigen,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Annulla\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Annulla/modo di spostamento\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Scendi veicolo
TriangleControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Cycle to a different ready character.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Open Main Menu.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Open Main Menu/Move inside\n[XTAB=80]the vehicle.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Cycle to a different ready character.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Open Main Menu.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Open Main Menu/Move inside\n[XTAB=80]the vehicle.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]キャラクタ変更\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]メニュー\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]メニュー/のりものマップへ,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Cambiar personaje.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]Menú.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Menú/Interior del vehículo.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Changer de personnage.\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Menu\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Menu/Carte de déplacement,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Charakter wechseln\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Menü aufrufen\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Menü aufrufen/Normalmodus,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Cambia personaggi\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Menu\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Menu/dentro veicolo
SquareControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Clear all windows.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Challenge a card player.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Call moogle/Move vehicle backward.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Clear all windows.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]Challenge a card player.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Call moogle/Move vehicle backward.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]メニューOFF\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]カードゲームよびかけ\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]モーグリよびだし/後退,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Limpiar pantalla.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]Desafiar a las cartas.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Llamar al moguri/Retroceder.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Menu OFF\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Défier\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Appel des Mog/Reculer,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Menü ausblenden\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Zu einem Kartenspiel\n[YSUB=5][XTAB=88] auffordern\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Mogry rufen/abbeordern,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Menu OFF\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Sfida gioco a carte\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Chiama moguri/retrocede
L1ControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Escape (hold down [CBTN=L1] and\n[XTAB=80][CBTN=R1] simultaneously).\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Rotate map clockwise.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Escape (hold down [CBTN=L1] and\n[XTAB=80][CBTN=R1] simultaneously).\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Rotate map clockwise.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD][CBTN=R1][FEED=2]同時押しで逃げる\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]未使用\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]左を見る,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Huir (junto con [CBTN=R1]).\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]No se usa.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Mirar a la izquierda.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Fuir en appuyant sur les\n[YSUB=4][XTAB=80]touches [CBTN=R1] et [CBTN=L1].\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Indisponible\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Regarder à gauche.,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Mit [CBTN=R1][FEED=2] zusammen „Fliehen”\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Unbelegt\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Nach links schauen,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Fugge (insieme a [CBTN=R1])\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Non utilizzabile\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Guarda a sinistra
R1ControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Escape (hold down [CBTN=L1] and\n[XTAB=80][CBTN=R1] simultaneously).\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Rotate map counterclockwise.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Escape (hold down [CBTN=L1] and\n[XTAB=80][CBTN=R1] simultaneously).\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Rotate map counterclockwise.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD][CBTN=L1][FEED=2]同時押しで逃げる\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]未使用\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]右を見る,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Huir (junto con [CBTN=L1]).\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]No se usa.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Mirar a la derecha.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Fuir en appuyant sur les\n[YSUB=4][XTAB=80]touches [CBTN=L1] et [CBTN=R1].\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Indisponible\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Regarder à droite.,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Mit [CBTN=L1][FEED=2] zusammen „Fliehen”\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Unbelegt\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Nach rechts schauen,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Fugge (insieme a [CBTN=L1])\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Non utilizzabile\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Guarda a destra
L2ControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Lock/unlock camera rotation.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Lock/unlock camera rotation.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]未使用\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]未使用\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]カメラ固定,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]No se usa.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]No se usa.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Fijar cámara.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Indisponible\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Indisponible\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Camera fixe.,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Unelegt\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Unbelegt\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Kamera fixieren,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Non utilizzabile\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Non utilizzabile\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Fissa inquadratura
R2ControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Auto-Battle.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Switch perspective.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Auto-Battle.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Switch perspective.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]オートバトル\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]未使用\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]視点きりかえ,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Batalla automática.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]No se usa.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Cambiar punto de vista.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Combat auto\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Indisponible\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Changer dʹangle.,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Auto-Kampf\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Unbelegt\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Perspektive ändern,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Battaglia automatica\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Non utilizzabile\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]Cambia prospettiva
SelectControlHelp,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Toggle Help.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]HERE Icon.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Switch navigation map.,[A85038][HSHD]Battle:[XTAB=80][383838][HSHD]Toggle Help.\n[A85038][HSHD]Field Map:[XTAB=80][383838][HSHD]HERE Icon.\n[A85038][HSHD]World Map:[XTAB=80][383838][HSHD]Switch navigation map.,[A85038][HSHD]バトル[XTAB=80][383838][HSHD]ヘルプ表示\n[A85038][HSHD]フィールドマップ[XTAB=80][383838][HSHD]HEREアイコン\n[A85038][HSHD]ワールドマップ[XTAB=80][383838][HSHD]ナビマップきりかえ,[A85038][HSHD]Batalla[FEED=2]:[XTAB=84][383838][HSHD]Ayuda.\n[A85038][HSHD]Zonas acción[FEED=2]:[XTAB=84][383838][HSHD]Icono ubicación.\n[A85038][HSHD]Campo[FEED=2]:[XTAB=84][383838][HSHD]Cambiar mapa.,[A85038][HSHD]Combat[FEED=2]:[XTAB=80][383838][HSHD]Afficher l'aide.\n[A85038][HSHD]Plan[FEED=2]:[XTAB=80][383838][HSHD]Icone ICI.\n[A85038][HSHD]Mappemonde[FEED=2]:[XTAB=80][383838][HSHD]Afficher la carte.,[A85038][HSHD]Im Kampf[FEED=2]:[XTAB=92][383838][HSHD]Hilfe anzeigen\n[A85038][HSHD]Im Normalmodus[FEED=2]:[XTAB=92][383838][HSHD]Fingerzeiger\n[A85038][HSHD]Im Weltmodus[FEED=2]:[XTAB=92][383838][HSHD]Karte aufrufen,[A85038][HSHD]Battaglia[XTAB=80][383838][HSHD]Aiuto\n[A85038][HSHD]Mappacampo[XTAB=80][383838][HSHD]Icona QUI\n[A85038][HSHD]Mappamondo[XTAB=80][383838][HSHD]mappa ON/OFF
,,,,,,,
Card,Card,Card,カード,Cartas,Cartes,Karten,Carte
